"","Incident ID","Incident Date","State","City Or County","Address","# Killed","# Injured","Operations"
"103",1284040,"December 24, 2018","District of Columbia","Washington","800 block of 11th St NE",0,1,"N/A"
"104",1281447,"December 20, 2018","District of Columbia","Washington","2600 block of Naylor Rd SE",1,0,"N/A"
"105",1281137,"December 20, 2018","District of Columbia","Washington","1300 block of Savannah St SE",0,1,"N/A"
"106",1280078,"December 19, 2018","District of Columbia","Washington","1700 block of West Virginia Ave NE",1,0,"N/A"
"107",1583938,"December 30, 2019","District of Columbia","Washington","600 block of M St NE",1,0,"N/A"
"108",1583638,"December 29, 2019","District of Columbia","Washington","4200 block of Barnaby Rd SE",1,0,"N/A"
"109",1581336,"December 28, 2019","District of Columbia","Washington","50 block of Riggs Rd NE",1,0,"N/A"
"110",1580400,"December 26, 2019","District of Columbia","Washington","1800 block of Corcoran St NE",1,1,"N/A"
"111",1578494,"December 23, 2019","District of Columbia","Washington","4200 block of 4th St SE",1,0,"N/A"
"112",1577163,"December 20, 2019","District of Columbia","Washington","400 block of 42nd St NE",1,0,"N/A"
"113",1575732,"December 19, 2019","District of Columbia","Washington","3900 block of Minnesota Ave NE",1,0,"N/A"
"114",1571901,"December 14, 2019","District of Columbia","Washington","1000 block of Rhode Island Ave NE",1,0,"N/A"
"115",1566367,"December 7, 2019","District of Columbia","Washington","1700 block of Capitol Ave NE",1,2,"N/A"
"116",1565826,"December 6, 2019","District of Columbia","Washington","2516 Sheridan Rd SE",1,0,"N/A"
"117",1561623,"November 30, 2019","District of Columbia","Washington","2800 block of Shipley Terrace SE",1,0,"N/A"
"118",1560353,"November 29, 2019","District of Columbia","Washington","3000 block of 30th St SE",1,2,"N/A"
"119",1561593,"November 28, 2019","District of Columbia","Washington","100 block of Danbury St SW",1,0,"N/A"
"120",1560284,"November 28, 2019","District of Columbia","Washington","1700 block of Trenton Pl SE",1,0,"N/A"
"121",1558010,"November 25, 2019","District of Columbia","Washington","2500 block of Rhode Island Ave NE",1,0,"N/A"
"122",1556431,"November 22, 2019","District of Columbia","Washington","4700 block of Benning Rd SE",1,0,"N/A"
"123",1555202,"November 22, 2019","District of Columbia","Washington","3200 block of Dubois Pl SE",1,0,"N/A"
"124",1554874,"November 21, 2019","District of Columbia","Washington","2300 block of Ainger Pl SE",1,0,"N/A"
"125",1552571,"November 19, 2019","District of Columbia","Washington","2400 block of Pomeroy Rd SE",1,1,"N/A"
"126",1551721,"November 17, 2019","District of Columbia","Washington","4600 block of Hillside Rd SE",1,0,"N/A"
"127",1890929,"December 30, 2020","District of Columbia","Washington","4700 block of Benning Rd SE",1,0,"N/A"
"128",1883095,"December 21, 2020","District of Columbia","Washington","5000 block of Bass Pl SE",1,0,"N/A"
"129",1875173,"December 11, 2020","District of Columbia","Washington","700 block of 21st St NE",1,0,"N/A"
"130",1875171,"December 11, 2020","District of Columbia","Washington","1700 block of 29th St SE",1,0,"N/A"
"131",1874014,"December 10, 2020","District of Columbia","Washington","3200 block of 23rd St SE",1,0,"N/A"
"132",1874011,"December 9, 2020","District of Columbia","Washington","1000 block of 13th St SE",1,1,"N/A"
"133",1871309,"December 7, 2020","District of Columbia","Washington","400 block of Xenia St SE",1,0,"N/A"
"134",1871296,"December 6, 2020","District of Columbia","Washington","2300 block of Hartford St SE",1,1,"N/A"
"135",1869014,"December 3, 2020","District of Columbia","Washington","700 block of Morton St NW",1,0,"N/A"
"136",1867106,"December 2, 2020","District of Columbia","Washington","400 block of 61st St NE",1,0,"N/A"
"137",1867713,"December 2, 2020","District of Columbia","Washington","5700 block of Southern Ave SE",1,0,"N/A"
"138",1867305,"December 2, 2020","District of Columbia","Washington","100 block of Joliet St SW",1,0,"N/A"
"139",1866934,"December 1, 2020","District of Columbia","Washington","I-295 and E Capitol St NE",1,0,"N/A"
"140",1864912,"November 29, 2020","District of Columbia","Washington","4500 block of Benning Rd SE",1,0,"N/A"
"141",1862913,"November 27, 2020","District of Columbia","Washington","700 block of Atlantic St SE",1,0,"N/A"
"142",1862490,"November 26, 2020","District of Columbia","Washington","2929 Connecticut Ave NW",1,1,"N/A"
"143",2080245,"July 31, 2021","District of Columbia","Washington","700 block of O St NW",1,1,"N/A"
"144",2076846,"July 28, 2021","District of Columbia","Washington","200 block of Mississippi Ave SE",1,0,"N/A"
"145",2074971,"July 26, 2021","District of Columbia","Washington","600 block of Jefferson St NW",1,0,"N/A"
"146",2074010,"July 25, 2021","District of Columbia","Washington","100 block of Q St NW",2,1,"N/A"
"147",2072354,"July 23, 2021","District of Columbia","Washington","2200 block of 4th St NE",1,0,"N/A"
"148",2071661,"July 22, 2021","District of Columbia","Washington","50 block of 53rd St SE",1,0,"N/A"
"149",2070665,"July 21, 2021","District of Columbia","Washington","2500 block of Elvans Rd SE",1,0,"N/A"
"150",2069914,"July 21, 2021","District of Columbia","Washington","3500 block of Jay St NE",1,0,"N/A"
"151",2069923,"July 21, 2021","District of Columbia","Washington","1400 block of V St NW",1,0,"N/A"
"152",2069919,"July 21, 2021","District of Columbia","Washington","2200 block of Martin Luther King Jr Ave SE",1,1,"N/A"
